Sample;Plant_species;P-Ser;Asp;OH-Pro;Thr;Ser;Glu;A-AAA;Pro;Gly;Ala;Citr;Val;Cys;Met;Ile;Leu;Tyr;B-ALA;Phe;B-AIBA;GABA;Ammoniumsulfat;Orn;Lysin;1-Meth;His;Arg;Summe_AS_(mg/g);Summe_AS_essential(mg/g);Summe_AS_non_essential(mg/g);;;;;;;
NB220;Galium_mollugo;0.12837162;5.43416838;0;1.91654247;3.2583167;4.35061747;0;3.5545538;3.72084111;3.99920482;0;1.42791647;0;0.8844576;0.95333978;3.72288792;1.22550977;0;1.88372962;0;0.07851756;1.4492353;0;2.99517679;0;0.9101184;2.13419065;4.402769623;1.383318291;3.019451332;;;;;;;
NB47;Geranium_molle;0.05988529;4.40247824;0.85073104;1.47627953;2.36269746;3.38001188;0;3.80049367;2.54597835;2.93313007;0;1.03428311;0.14208798;0.84861449;0.91383115;3.18176979;1.13056009;0;1.82940536;0;0.05671713;1.00366729;0;2.0712584;0;0.76705318;1.65539186;3.644632536;1.170662847;2.473969689;;;;;;;
LN15;Geranium_pratense;0;3.04704;0;1.13388;1.79856;1.41864;0;3.72936;2.45988;2.91996;0;0;0;0;0.79308;2.98032;0.82512;0;0.63744;0;0;4.15344;0;1.80636;0;0;0.98436;2.868744;0.652908;2.215836;;;;;;;
NB129;Geranium_pyrenaicum;0;4.53477024;0;1.46727389;2.50948531;3.29753482;0;4.33608403;3.00726835;3.21833477;0;1.10953709;0;0.70505952;0.86377882;3.56450458;1.12320806;0;1.84275974;0;0;1.41429888;0;2.74002192;0;0.83606861;1.56871978;3.813870841;1.195770203;2.618100638;;;;;;;
MS021;Geranium_sylvaticum;0.117460068;4.854621722;0.884191729;1.676185139;2.697770929;3.513825071;0;2.849626292;2.533685614;3.282335268;0;1.399153464;0.789031159;1.578222427;1.293409627;2.808089166;1.329627173;0;2.2956864;0;0;1.113410441;0;3.726999783;0;0.9833472;1.72525318;4.145193185;1.37593466;2.769258525;;;;;;;
NA;Geum_urbanum;0;5.510622222;0;1.956666667;3.798888889;4.033022222;0;3.6732;5.317422222;4.820222222;0;1.096044444;0;0.566444444;1.048977778;4.002311111;0.948311111;0;1.441555556;0;0.232711111;6.4964;0;2.884133333;0;0.745555556;1.445688889;5.001817778;1.230324444;3.771493333;;;;;;;
NA;Glechoma_hederacea;0;1.421026772;0;0.567722835;1.025990551;1.157480315;0;0.543685039;1.389127559;1.351407874;0.148308661;0.212371654;0;0;0.259691339;1.263911811;0.304970079;0;0.28871811;0;0;3.119735433;0;0.714784252;0;0;0.486992126;1.425592441;0.307940787;1.117651654;;;;;;;
MS022;Helianthemum_nummularium;0.024809675;5.774717207;0.448468658;1.962654956;3.061744698;4.798501729;0;3.03728221;2.967437756;3.583287885;0;1.466708339;0.490945119;1.084436176;1.134902237;4.089197125;1.690503864;0;2.2268064;0;0;1.063027525;0;3.617929627;0;1.195345139;2.152970278;4.58716766;1.531302065;3.055865595;;;;;;;
LN175;Helianthemum_nummularium_grandiflorum;0;3.47955344;0.18326032;1.12068336;1.78874595;2.67718077;0;2.61427397;2.04706579;2.28720888;0;0.90200245;0;0.49908395;0.64361472;2.46788949;0.61786784;0;1.20221547;0;0.06471931;1.084584;0;2.17268795;0;0.66686336;1.04891627;2.756841729;0.855126907;1.901714822;;;;;;;
LN209;Heracleum_sphondylium;0;3.36057901;0.51511063;1.32265393;2.27731142;2.21584974;0;2.9836652;2.19843284;2.24355758;0;0.84062537;0;0.5659238;0.73159427;2.41416074;0.71439793;0;1.21022252;0;0;1.20225125;0;1.8121988;0;0.69183044;1.01152389;2.831188936;0.878853496;1.95233544;;;;;;;
NB294;Hieracium_piloselloides;0;10.3808772;2.71265128;4.01363824;6.24848928;8.69364923;0;6.39563125;6.16951507;6.71918544;0;2.7016944;0.79247736;1.89814229;2.12232619;7.35951531;2.63928672;0;3.81774997;0;0.11808387;1.7533536;0;7.23019429;0;2.25362816;4.31193776;8.833202691;2.847863232;5.985339459;;;;;;;
FR21;Hypericum_perforatum;0;8.434312871;0;3.990891089;6.077037624;6.913568317;0;4.452974257;7.428213861;7.738407921;0;2.360934653;0;0.971786139;1.822954455;6.407144554;1.828229703;0;2.449330693;0;0;5.220356436;0;5.837560396;0;1.323992079;3.085972277;7.634366733;2.241300594;5.393066139;;;;;;;
NB341;Hypochaeris_radicata;0;5.13364925;1.68479232;1.99046272;3.27149675;4.57755587;0;2.70874805;3.90381816;3.3264;0;1.16024875;0.38140416;0.89794528;1.05047467;3.60198229;1.45679968;0;2.06292949;0;0.14029848;1.333152;0;3.967868;0;2.07769344;2.46709008;4.719480944;1.530882672;3.188598272;;;;;;;
NB133;Knautia_arvensis;0.10111958;9.78172722;2.48363109;3.85637781;6.02741216;7.48486745;0;5.46216737;5.21714495;6.5150908;0;2.52486397;0.37538191;1.85198267;1.82742634;6.27636898;2.16333424;0;3.42083729;0;0.19513461;1.60525212;0;4.92771008;0;2.14825074;2.82038424;7.706646562;2.472649204;5.233997358;;;;;;;
J564_1;Laburnum_anagyroides;0.261515789;12.6434001;0;4.312100571;6.692121231;10.33906737;0;8.214527631;6.455008404;7.91015309;0;3.306152756;0.359784554;2.301234567;2.467655736;8.429752826;3.546470295;0;4.643477908;0;0;2.218932396;0;7.836499938;0;2.144420571;5.289309257;9.937158498;3.289410419;6.647748079;;;;;;;
NB56;Lamium_album;0;4.72382548;0.68570544;1.60441992;2.47672354;3.95407742;0;2.99965563;2.85760006;2.93357295;0;1.19260376;0.13718727;0.751968;0.85972736;2.87549728;1.16241612;0;1.58717552;0;0.06843778;1.1349072;0.04855706;2.6713664;0;0.81354288;2.70151102;3.824047809;1.238644574;2.585403235;;;;;;;
NB82;Lamium_maculatum;0.192504;9.99698128;1.53761072;3.29853008;5.09600472;7.54732835;0;4.30563011;5.88095083;5.98279176;0;2.41275733;0;1.94361845;1.82535936;6.32873813;2.40251872;0;3.29113643;0;0;2.3230512;0;5.56140901;0;1.53237444;4.84982091;7.630911583;2.548233513;5.08267807;;;;;;;
NA;Lamium_purpureum;0;0.905764103;0;0.40225641;0.553764103;0.712041026;0;0.291446154;1.081558974;0.867774359;0.216123077;0;0;0;0.181087179;0.897066667;0;0;0.183507692;0;0;2.405948718;0;0.388389744;0;0;0.329230769;0.941595897;0.199314872;0.742281026;;;;;;;
